Ligand,Binding Affinity,rmsd/ub, rmsd/lb
1xtc_17100_uff_E=147.80,-5.8,0.0,0.0
1xtc_17100_uff_E=147.80,-5.8,28.34,25.701
1xtc_17100_uff_E=147.80,-5.6,16.35,15.016
1xtc_17100_uff_E=147.80,-5.6,11.137,9.774
1xtc_17100_uff_E=147.80,-5.6,10.026,8.875
1xtc_17100_uff_E=147.80,-5.5,16.155,14.435
1xtc_17100_uff_E=147.80,-5.5,4.626,2.125
1xtc_17100_uff_E=147.80,-5.2,15.558,14.313
1xtc_17100_uff_E=147.80,-5.2,8.955,8.026
1xtc_6438340_uff_E=1609.00,-6.7,0.0,0.0
1xtc_6438340_uff_E=1609.00,-6.6,47.912,44.998
1xtc_6438340_uff_E=1609.00,-6.6,18.99,15.952
1xtc_6438340_uff_E=1609.00,-6.4,30.293,25.974
1xtc_6438340_uff_E=1609.00,-6.4,17.842,15.731
1xtc_6438340_uff_E=1609.00,-6.3,29.715,25.306
1xtc_6438340_uff_E=1609.00,-6.3,48.502,46.018
1xtc_6438340_uff_E=1609.00,-6.2,30.348,25.868
1xtc_6438340_uff_E=1609.00,-6.1,27.541,23.719
1xtc_98723_uff_E=147.43,-4.9,0.0,0.0
1xtc_98723_uff_E=147.43,-4.4,17.592,16.614
1xtc_98723_uff_E=147.43,-4.4,26.408,25.685
1xtc_98723_uff_E=147.43,-4.3,28.147,27.053
1xtc_98723_uff_E=147.43,-4.3,26.779,25.925
1xtc_98723_uff_E=147.43,-4.3,27.186,26.357
1xtc_98723_uff_E=147.43,-4.2,22.973,20.835
1xtc_98723_uff_E=147.43,-4.2,30.049,28.852
1xtc_98723_uff_E=147.43,-4.1,28.303,26.98
